ActivityDay,Total_Calories
4/12/2016,51499
4/13/2016,48662
4/14/2016,49938
4/15/2016,50303
4/16/2016,49091
4/17/2016,44807
4/18/2016,48764
4/19/2016,49172
4/20/2016,49227
4/21/2016,50271
4/22/2016,49630
4/23/2016,50298
4/24/2016,47255
4/25/2016,50236
4/26/2016,49150
4/27/2016,49000
4/28/2016,48438
4/29/2016,48092
4/30/2016,49304
5/1/2016,44739
5/2/2016,47367
5/3/2016,51051
5/4/2016,49521
5/5/2016,51172
5/6/2016,49935
5/7/2016,50422
5/8/2016,49104
5/9/2016,50788
5/10/2016,49636
5/11/2016,49569
5/12/2016,23925