Id,ActivityDay,Calories
1503960366,4/12,1985
1503960366,4/13,1797
1503960366,4/14,1776
1503960366,4/15,1745
1503960366,4/16,1863
1503960366,4/17,1728
1503960366,4/18,1921
1503960366,4/19,2035
1503960366,4/20,1786
1503960366,4/21,1775
1503960366,4/22,1827
1503960366,4/23,1949
1503960366,4/24,1788
1503960366,4/25,2013
1503960366,4/26,1970
1503960366,4/27,2159
1503960366,4/28,1898
1503960366,4/29,1837
1503960366,4/30,1947
1503960366,5/1,1820
1503960366,5/2,2004
1503960366,5/3,1990
1503960366,5/4,1819
1503960366,5/5,1959
1503960366,5/6,1896
1503960366,5/7,1821
1503960366,5/8,1740
1503960366,5/9,1819
1503960366,5/10,1859
1503960366,5/11,1783
1503960366,5/12,0
1624580081,4/12,1432
1624580081,4/13,1411
1624580081,4/14,1572
1624580081,4/15,1344
1624580081,4/16,1463
1624580081,4/17,1554
1624580081,4/18,1604
1624580081,4/19,1435
1624580081,4/20,1446
1624580081,4/21,1467
1624580081,4/22,1470
1624580081,4/23,1562
1624580081,4/24,1617
1624580081,4/25,1492
1624580081,4/26,1402
1624580081,4/27,1670
1624580081,4/28,1401
1624580081,4/29,1404
1624580081,4/30,1655
1624580081,5/1,2690
1624580081,5/2,1497
1624580081,5/3,1334
1624580081,5/4,1368
1624580081,5/5,1370
1624580081,5/6,1341
1624580081,5/7,1474
1624580081,5/8,1427
1624580081,5/9,1328
1624580081,5/10,1393
1624580081,5/11,1359
1624580081,5/12,1002
1844505072,4/12,2030
1844505072,4/13,1860
1844505072,4/14,2130
1844505072,4/15,1725
1844505072,4/16,1657
1844505072,4/17,1793
1844505072,4/18,1814
1844505072,4/19,1366
1844505072,4/20,1349
1844505072,4/21,2062
1844505072,4/22,1827
1844505072,4/23,1645
1844505072,4/24,1347
1844505072,4/25,1347
1844505072,4/26,1347
1844505072,4/27,1348
1844505072,4/28,1992
1844505072,4/29,1856
1844505072,4/30,1763
1844505072,5/1,1541
1844505072,5/2,1348
1844505072,5/3,1742
1844505072,5/4,1549
1844505072,5/5,1589
1844505072,5/6,1351
1844505072,5/7,1347
1844505072,5/8,1347
1844505072,5/9,1347
1844505072,5/10,1347
1844505072,5/11,1347
1844505072,5/12,665
1927972279,4/12,2220
1927972279,4/13,2151
1927972279,4/14,2383
1927972279,4/15,2221
1927972279,4/16,2064
1927972279,4/17,2063
1927972279,4/18,2111
1927972279,4/19,2063
1927972279,4/20,2063
1927972279,4/21,2064
1927972279,4/22,2093
1927972279,4/23,2499
1927972279,4/24,2324
1927972279,4/25,2100
1927972279,4/26,2638
1927972279,4/27,2063
1927972279,4/28,2351
1927972279,4/29,2063
1927972279,4/30,2064
1927972279,5/1,2411
1927972279,5/2,2505
1927972279,5/3,2195
1927972279,5/4,2338
1927972279,5/5,2063
1927972279,5/6,2383
1927972279,5/7,2229
1927972279,5/8,2063
1927972279,5/9,2063
1927972279,5/10,2063
1927972279,5/11,2063
1927972279,5/12,1383
2022484408,4/12,2390
2022484408,4/13,2601
2022484408,4/14,2312
2022484408,4/15,2525
2022484408,4/16,2177
2022484408,4/17,2782
2022484408,4/18,2770
2022484408,4/19,2489
2022484408,4/20,2897
2022484408,4/21,3158
2022484408,4/22,2638
2022484408,4/23,2069
2022484408,4/24,2529
2022484408,4/25,2470
2022484408,4/26,2793
2022484408,4/27,2463
2022484408,4/28,2296
2022484408,4/29,2611
2022484408,4/30,2732
2022484408,5/1,2380
2022484408,5/2,2473
2022484408,5/3,2752
2022484408,5/4,2649
2022484408,5/5,2609
2022484408,5/6,2498
2022484408,5/7,1995
2022484408,5/8,1848
2022484408,5/9,2709
2022484408,5/10,2797
2022484408,5/11,2544
2022484408,5/12,1853
2026352035,4/12,1459
2026352035,4/13,1521
2026352035,4/14,1431
2026352035,4/15,1444
2026352035,4/16,1373
2026352035,4/17,1214
2026352035,4/18,1419
2026352035,4/19,1356
2026352035,4/20,1667
2026352035,4/21,1370
2026352035,4/22,1399
2026352035,4/23,1916
2026352035,4/24,1401
2026352035,4/25,1576
2026352035,4/26,1595
2026352035,4/27,1593
2026352035,4/28,1649
2026352035,4/29,1692
2026352035,4/30,1506
2026352035,5/1,1447
2026352035,5/2,1690
2026352035,5/3,1604
2026352035,5/4,1658
2026352035,5/5,1926
2026352035,5/6,1736
2026352035,5/7,1491
2026352035,5/8,1555
2026352035,5/9,1869
2026352035,5/10,1141
2026352035,5/11,1698
2026352035,5/12,1364
2320127002,4/12,2124
2320127002,4/13,2003
2320127002,4/14,1696
2320127002,4/15,1801
2320127002,4/16,1724
2320127002,4/17,1852
2320127002,4/18,1905
2320127002,4/19,1811
2320127002,4/20,1922
2320127002,4/21,1610
2320127002,4/22,1851
2320127002,4/23,1804
2320127002,4/24,1725
2320127002,4/25,1654
2320127002,4/26,1632
2320127002,4/27,1481
2320127002,4/28,1473
2320127002,4/29,1410
2320127002,4/30,1779
2320127002,5/1,1403
2320127002,5/2,1613
2320127002,5/3,1878
2320127002,5/4,1426
2320127002,5/5,1780
2320127002,5/6,1742
2320127002,5/7,1972
2320127002,5/8,1821
2320127002,5/9,1630
2320127002,5/10,1899
2320127002,5/11,1903
2320127002,5/12,1125
2873212765,4/12,1982
2873212765,4/13,2004
2873212765,4/14,1893
2873212765,4/15,2063
2873212765,4/16,2148
2873212765,4/17,1529
2873212765,4/18,1890
2873212765,4/19,1956
2873212765,4/20,2094
2873212765,4/21,1970
2873212765,4/22,2241
2873212765,4/23,2021
2873212765,4/24,1898
2873212765,4/25,1907
2873212765,4/26,1882
2873212765,4/27,1966
2873212765,4/28,1835
2873212765,4/29,1780
2873212765,4/30,1830
2873212765,5/1,1739
2873212765,5/2,1878
2873212765,5/3,1906
2873212765,5/4,2015
2873212765,5/5,1971
2873212765,5/6,1910
2873212765,5/7,1897
2873212765,5/8,2096
2873212765,5/9,1906
2873212765,5/10,1962
2873212765,5/11,1826
2873212765,5/12,1431
4020332650,4/12,3654
4020332650,4/13,1981
4020332650,4/14,2011
4020332650,4/15,2951
4020332650,4/16,3051
4020332650,4/17,1990
4020332650,4/18,1995
4020332650,4/19,1980
4020332650,4/20,1980
4020332650,4/21,1980
4020332650,4/22,1980
4020332650,4/23,1980
4020332650,4/24,1980
4020332650,4/25,1980
4020332650,4/26,1980
4020332650,4/27,1980
4020332650,4/28,1980
4020332650,4/29,1980
4020332650,4/30,1980
4020332650,5/1,1980
4020332650,5/2,2207
4020332650,5/3,2828
4020332650,5/4,3879
4020332650,5/5,3429
4020332650,5/6,2704
4020332650,5/7,2975
4020332650,5/8,3089
4020332650,5/9,2785
4020332650,5/10,2926
4020332650,5/11,2645
4020332650,5/12,1120
4319703577,4/12,2115
4319703577,4/13,2135
4319703577,4/14,2302
4319703577,4/15,1985
4319703577,4/16,1884
4319703577,4/17,1464
4319703577,4/18,1632
4319703577,4/19,2200
4319703577,4/20,2220
4319703577,4/21,1792
4319703577,4/22,1886
4319703577,4/23,1945
4319703577,4/24,1880
4319703577,4/25,2314
4319703577,4/26,2236
4319703577,4/27,2324
4319703577,4/28,2367
4319703577,4/29,2175
4319703577,4/30,2092
4319703577,5/1,1593
4319703577,5/2,2270
4319703577,5/3,2235
4319703577,5/4,2282
4319703577,5/5,2530
4319703577,5/6,2266
4319703577,5/7,2158
4319703577,5/8,1792
4319703577,5/9,2345
4319703577,5/10,2260
4319703577,5/11,2232
4319703577,5/12,257
4388161847,4/12,2955
4388161847,4/13,3092
4388161847,4/14,2998
4388161847,4/15,3066
4388161847,4/16,3073
4388161847,4/17,2572
4388161847,4/18,3274
4388161847,4/19,3015
4388161847,4/20,3083
4388161847,4/21,3069
4388161847,4/22,3544
4388161847,4/23,3306
4388161847,4/24,2885
4388161847,4/25,3288
4388161847,4/26,2929
4388161847,4/27,3074
4388161847,4/28,2969
4388161847,4/29,2979
4388161847,4/30,3283
4388161847,5/1,2926
4388161847,5/2,3147
4388161847,5/3,3290
4388161847,5/4,3162
4388161847,5/5,2899
4388161847,5/6,3425
4388161847,5/7,4022
4388161847,5/8,3934
4388161847,5/9,3013
4388161847,5/10,3061
4388161847,5/11,2954
4388161847,5/12,1623
4445114986,4/12,2113
4445114986,4/13,2095
4445114986,4/14,2194
4445114986,4/15,2496
4445114986,4/16,2180
4445114986,4/17,1933
4445114986,4/18,2248
4445114986,4/19,1954
4445114986,4/20,1974
4445114986,4/21,2150
4445114986,4/22,2432
4445114986,4/23,2149
4445114986,4/24,2247
4445114986,4/25,2070
4445114986,4/26,2291
4445114986,4/27,2361
4445114986,4/28,2203
4445114986,4/29,2196
4445114986,4/30,2363
4445114986,5/1,2246
4445114986,5/2,2336
4445114986,5/3,2421
4445114986,5/4,2070
4445114986,5/5,2120
4445114986,5/6,2211
4445114986,5/7,2123
4445114986,5/8,2423
4445114986,5/9,2281
4445114986,5/10,2181
4445114986,5/11,2499
4445114986,5/12,1212
4558609924,4/12,1909
4558609924,4/13,1722
4558609924,4/14,1922
4558609924,4/15,2121
4558609924,4/16,1997
4558609924,4/17,2117
4558609924,4/18,2116
4558609924,4/19,1876
4558609924,4/20,1788
4558609924,4/21,2486
4558609924,4/22,2094
4558609924,4/23,2085
4558609924,4/24,2173
4558609924,4/25,2225
4558609924,4/26,2223
4558609924,4/27,2098
4558609924,4/28,2185
4558609924,4/29,1918
4558609924,4/30,2105
4558609924,5/1,1692
4558609924,5/2,2066
4558609924,5/3,1953
4558609924,5/4,1842
4558609924,5/5,2262
4558609924,5/6,1722
4558609924,5/7,1973
4558609924,5/8,2666
4558609924,5/9,2223
4558609924,5/10,1889
4558609924,5/11,2131
4558609924,5/12,1452
4702921684,4/12,2947
4702921684,4/13,2898
4702921684,4/14,2984
4702921684,4/15,2896
4702921684,4/16,3328
4702921684,4/17,3394
4702921684,4/18,3013
4702921684,4/19,2812
4702921684,4/20,3061
4702921684,4/21,2729
4702921684,4/22,2241
4702921684,4/23,3691
4702921684,4/24,3538
4702921684,4/25,3064
4702921684,4/26,2784
4702921684,4/27,2908
4702921684,4/28,3033
4702921684,4/29,3165
4702921684,4/30,3115
4702921684,5/1,2017
4702921684,5/2,2859
4702921684,5/3,3145
4702921684,5/4,3004
4702921684,5/5,3006
4702921684,5/6,2859
4702921684,5/7,3683
4702921684,5/8,3287
4702921684,5/9,2990
4702921684,5/10,3172
4702921684,5/11,3069
4702921684,5/12,1240
5553957443,4/12,2026
5553957443,4/13,1718
5553957443,4/14,2324
5553957443,4/15,2254
5553957443,4/16,1831
5553957443,4/17,1397
5553957443,4/18,1683
5553957443,4/19,2284
5553957443,4/20,1570
5553957443,4/21,2066
5553957443,4/22,2105
5553957443,4/23,1776
5553957443,4/24,1507
5553957443,4/25,2033
5553957443,4/26,2093
5553957443,4/27,1922
5553957443,4/28,1999
5553957443,4/29,2169
5553957443,4/30,1463
5553957443,5/1,1747
5553957443,5/2,1996
5553957443,5/3,2116
5553957443,5/4,1698
5553957443,5/5,2156
5553957443,5/6,1916
5553957443,5/7,1494
5553957443,5/8,1762
5553957443,5/9,2272
5553957443,5/10,2335
5553957443,5/11,1693
5553957443,5/12,741
6962181067,4/12,1994
6962181067,4/13,1718
6962181067,4/14,1466
6962181067,4/15,1756
6962181067,4/16,2173
6962181067,4/17,2027
6962181067,4/18,2039
6962181067,4/19,2046
6962181067,4/20,2174
6962181067,4/21,2179
6962181067,4/22,2086
6962181067,4/23,2571
6962181067,4/24,1705
6962181067,4/25,2194
6962181067,4/26,2012
6962181067,4/27,2034
6962181067,4/28,2182
6962181067,4/29,2254
6962181067,4/30,2002
6962181067,5/1,1740
6962181067,5/2,2162
6962181067,5/3,2072
6962181067,5/4,2086
6962181067,5/5,2066
6962181067,5/6,1850
6962181067,5/7,1947
6962181067,5/8,1659
6962181067,5/9,2105
6962181067,5/10,2361
6962181067,5/11,1855
6962181067,5/12,928
7086361926,4/12,2772
7086361926,4/13,2516
7086361926,4/14,2734
7086361926,4/15,2395
7086361926,4/16,1635
7086361926,4/17,1629
7086361926,4/18,2743
7086361926,4/19,2944
7086361926,4/20,2997
7086361926,4/21,2463
7086361926,4/22,2846
7086361926,4/23,1965
7086361926,4/24,2049
7086361926,4/25,2752
7086361926,4/26,2781
7086361926,4/27,2693
7086361926,4/28,2862
7086361926,4/29,2616
7086361926,4/30,2995
7086361926,5/1,2730
7086361926,5/2,2754
7086361926,5/3,2754
7086361926,5/4,2655
7086361926,5/5,2386
7086361926,5/6,2924
7086361926,5/7,2739
7086361926,5/8,2534
7086361926,5/9,2960
7086361926,5/10,2800
7086361926,5/11,2735
7086361926,5/12,1199
8053475328,4/12,3186
8053475328,4/13,3140
8053475328,4/14,3411
8053475328,4/15,3410
8053475328,4/16,2867
8053475328,4/17,3213
8053475328,4/18,3133
8053475328,4/19,3114
8053475328,4/20,3043
8053475328,4/21,3103
8053475328,4/22,2655
8053475328,4/23,3554
8053475328,4/24,3577
8053475328,4/25,3403
8053475328,4/26,2846
8053475328,4/27,2852
8053475328,4/28,3062
8053475328,4/29,2794
8053475328,4/30,2408
8053475328,5/1,1886
8053475328,5/2,1988
8053475328,5/3,3023
8053475328,5/4,2918
8053475328,5/5,2950
8053475328,5/6,2859
8053475328,5/7,3331
8053475328,5/8,3589
8053475328,5/9,2765
8053475328,5/10,2926
8053475328,5/11,2809
8053475328,5/12,1505
8378563200,4/12,3635
8378563200,4/13,4079
8378563200,4/14,4163
8378563200,4/15,3666
8378563200,4/16,3363
8378563200,4/17,2572
8378563200,4/18,4157
8378563200,4/19,4092
8378563200,4/20,3787
8378563200,4/21,4236
8378563200,4/22,4044
8378563200,4/23,2908
8378563200,4/24,2741
8378563200,4/25,4005
8378563200,4/26,3763
8378563200,4/27,3061
8378563200,4/28,2884
8378563200,4/29,2982
8378563200,4/30,2660
8378563200,5/1,3369
8378563200,5/2,3491
8378563200,5/3,3784
8378563200,5/4,3110
8378563200,5/5,3783
8378563200,5/6,3644
8378563200,5/7,2799
8378563200,5/8,2685
8378563200,5/9,3721
8378563200,5/10,3586
8378563200,5/11,3788
8378563200,5/12,1976
8583815059,4/12,2650
8583815059,4/13,2654
8583815059,4/14,2443
8583815059,4/15,2505
8583815059,4/16,2693
8583815059,4/17,2439
8583815059,4/18,2536
8583815059,4/19,2668
8583815059,4/20,2647
8583815059,4/21,2883
8583815059,4/22,2944
8583815059,4/23,3012
8583815059,4/24,2889
8583815059,4/25,2547
8583815059,4/26,3093
8583815059,4/27,3142
8583815059,4/28,2757
8583815059,4/29,3513
8583815059,4/30,3164
8583815059,5/1,2596
8583815059,5/2,2894
8583815059,5/3,3212
8583815059,5/4,2516
8583815059,5/5,3266
8583815059,5/6,2683
8583815059,5/7,2810
8583815059,5/8,2940
8583815059,5/9,2947
8583815059,5/10,2846
8583815059,5/11,2804
8583815059,5/12,0
8877689391,4/12,3921
8877689391,4/13,3566
8877689391,4/14,3793
8877689391,4/15,3934
8877689391,4/16,4547
8877689391,4/17,3545
8877689391,4/18,2761
8877689391,4/19,3676
8877689391,4/20,3679
8877689391,4/21,3659
8877689391,4/22,3427
8877689391,4/23,3891
8877689391,4/24,3455
8877689391,4/25,3802
8877689391,4/26,2860
8877689391,4/27,3808
8877689391,4/28,3060
8877689391,4/29,2698
8877689391,4/30,4398
8877689391,5/1,2786
8877689391,5/2,2189
8877689391,5/3,2817
8877689391,5/4,3477
8877689391,5/5,3052
8877689391,5/6,4015
8877689391,5/7,4142
8877689391,5/8,2847
8877689391,5/9,3710
8877689391,5/10,2832
8877689391,5/11,3832
8877689391,5/12,1849
